parallax,Av. error (mm),Info,Higher Info
"0,18","200,39",seq0_checks,105-2-115_TwoPoints
"0,18","202,19",seq0_checks,105-2-115_TwoPoints
"0,42","181,21",seq0_checks,105-2-115_TwoPoints
"0,42","184,13",seq0_checks,105-2-115_TwoPoints
"0,64","211,82",seq0_checks,105-2-115_TwoPoints
"0,64","215,64",seq0_checks,105-2-115_TwoPoints
"0,18","195,96",seq0_checks,105-2-115_TwoPoints
"0,18","197,74",seq0_checks,105-2-115_TwoPoints
"0,18","195,50",seq0_checks,105-2-115_TwoPoints
"0,18","197,28",seq0_checks,105-2-115_TwoPoints
"0,53","191,98",seq0_checks,105-2-115_TwoPoints
"0,53","187,26",seq0_checks,105-2-115_TwoPoints
"0,08","194,55",seq0_checks,105-2-115_TwoPoints
"0,08","196,90",seq0_checks,105-2-115_TwoPoints
"0,34","206,46",seq0_checks,105-2-115_TwoPoints
"0,34","209,51",seq0_checks,105-2-115_TwoPoints
"0,40","202,02",seq0_checks,105-2-115_TwoPoints
"0,40","204,67",seq0_checks,105-2-115_TwoPoints
"0,47","177,83",seq0_checks,105-2-115_TwoPoints
"0,47","180,75",seq0_checks,105-2-115_TwoPoints
"0,46","202,94",seq0_checks,105-2-115_TwoPoints
"0,46","205,92",seq0_checks,105-2-115_TwoPoints
"0,41","187,80",seq0_checks,105-2-115_TwoPoints
"0,41","183,19",seq0_checks,105-2-115_TwoPoints
"0,49","187,54",seq0_checks,105-2-115_TwoPoints
"0,49","182,81",seq0_checks,105-2-115_TwoPoints
"0,07","205,99",seq0_checks,105-2-115_TwoPoints
"0,07","199,38",seq0_checks,105-2-115_TwoPoints
"0,17","195,78",seq0_checks,105-2-115_TwoPoints
"0,17","197,76",seq0_checks,105-2-115_TwoPoints
"0,20","202,29",seq0_checks,105-2-115_TwoPoints
"0,20","204,80",seq0_checks,105-2-115_TwoPoints
"0,39","260,62",seq0_checks,105-2-115_TwoPoints
"0,39","251,86",seq0_checks,105-2-115_TwoPoints
"0,23","207,63",seq0_checks,105-2-115_TwoPoints
"0,23","201,61",seq0_checks,105-2-115_TwoPoints
"0,26","207,79",seq0_checks,105-2-115_TwoPoints
