InRays,,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
20,Planar,"2,5",0,FINAL,"1,01","1,04","2,58e-02","1,00","1,00","1,00","-3,46","0,04","-5,44","3,95","5,38","7,07","-59,65","136,37"
20,Planar,0,"2,5",INITIAL,"0,94","0,92","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,64","1,82",,
20,Planar,0,"2,5",1 / 5,"0,36","0,34","2,32e-04","1,00","1,00","1,00","-0,12","1,1","-0,08",,"1,48","1,69",,
20,Planar,0,"2,5",2 / 5,"0,35","0,33","3,81e-04","1,00","1,00","1,00","-0,2","1,31","-0,17",,"1,46","1,68",,
20,Planar,0,"2,5",3 / 5,"0,37","0,35","3,04e-04","1,00","1,00","1,00","-0,23","1,12","-0,27",,"1,45","1,67",,
20,Planar,0,"2,5",4 / 5,"0,37","0,35","3,66e-04","1,00","1,00","1,00","-0,05","1,39","-0,23",,"1,43","1,64",,
20,Planar,0,"2,5",FINAL,"0,38","0,38","2,61e-04","1,00","1,00","1,00","-0,09","1,25","-0,37","2,50","1,42","1,64","13,56","56,80"
20,Planar,"2,5","2,5",INITIAL,"2,21","4,74","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,49","4,12",,
20,Planar,"2,5","2,5",1 / 5,"2,04","1,25","8,61e-03","1,00","1,00","1,00","-0,0","0,54","-0,18",,"3,48","4,10",,
20,Planar,"2,5","2,5",2 / 5,"1,90","1,10","1,91e-02","1,00","1,00","1,00","-0,2","0,85","-0,85",,"3,59","4,30",,
20,Planar,"2,5","2,5",3 / 5,"1,60","1,02","2,68e-02","1,00","1,00","1,00","-0,46","0,86","-1,44",,"3,88","4,67",,
20,Planar,"2,5","2,5",4 / 5,"1,33","0,77","3,48e-02","1,00","1,00","1,00","-1,31","1,8","-4,06",,"4,13","5,15",,
20,Planar,"2,5","2,5",FINAL,"1,18","0,77","5,05e-02","1,00","1,00","1,00","-1,96","3,15","-8,38","4,73","5,26","6,93","-50,84","111,40"
20,Planar,10,0,INITIAL,"7,13","6,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,77","16,32",,
20,Planar,10,0,1 / 5,"5,92","6,10","1,14e-02","1,00","1,00","1,00","-0,25","-0,89","-0,27",,"13,47","16,17",,
20,Planar,10,0,2 / 5,"4,75","5,28","9,79e-02","1,00","1,00","1,00","-1,08","-1,39","-1,33",,"14,27","17,29",,
20,Planar,10,0,3 / 5,"4,30","4,48","1,62e-01","1,00","1,00","1,00","-3,77","1,01","-4,64",,"15,45","19,60",,
20,Planar,10,0,4 / 5,"2,32","3,82","2,90e-01","1,00","1,00","1,00","-5,95","0,15","-7,74",,"18,59","23,78",,
20,Planar,10,0,FINAL,"1,36","1,56","4,74e-01","1,00","1,00","1,00","-9,69","-0,39","-13,7","16,05","24,43","31,48","-77,36","152,16"
20,Planar,0,10,INITIAL,"3,49","3,41","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,57","6,02",,
20,Planar,0,10,1 / 5,"0,76","0,70","5,27e-04","1,00","1,00","1,00","-0,41","3,92","-0,2",,"4,61","5,34",,
20,Planar,0,10,2 / 5,"0,56","0,47","1,11e-03","1,00","1,00","1,00","-0,64","4,65","-0,6",,"4,40","5,16",,
20,Planar,0,10,3 / 5,"0,62","0,54","9,95e-04","1,00","1,00","1,00","-0,85","4,53","-0,93",,"4,36","5,13",,
20,Planar,0,10,4 / 5,"0,62","0,57","8,58e-04","1,00","1,00","1,00","-0,78","4,53","-0,84",,"4,33","5,08",,
20,Planar,0,10,FINAL,"0,62","0,57","8,52e-04","1,00","1,00","1,00","-0,79","4,53","-0,85","10,00","4,32","5,08","22,35","43,25"
20,Planar,10,10,INITIAL,"8,23","8,13","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,59","17,47",,
20,Planar,10,10,1 / 5,"5,99","6,09","2,75e-02","1,00","1,00","1,00","-0,91","3,3","-1,07",,"14,06","17,02",,
20,Planar,10,10,2 / 5,"5,96","5,78","6,35e-02","1,00","1,00","1,00","-1,77","4,83","-2,89",,"14,36","17,44",,
20,Planar,10,10,3 / 5,"4,60","5,20","1,22e-01","1,00","1,00","1,00","-2,24","5,17","-4,27",,"15,03","18,40",,
20,Planar,10,10,4 / 5,"2,43","3,22","3,62e-01","1,00","1,00","1,00","-9,39","3,42","-13,91",,"18,84","24,58",,
20,Planar,10,10,FINAL,"1,19","1,22","7,43e-01","1,00","1,00","1,00","-23,82","3,14","-26,15","19,14","29,17","37,84","-100,01","152,40"
20,Gradual,0,"2,5",INITIAL,"1,66","1,59","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,03","2,45",,
20,Gradual,0,"2,5",1 / 5,"0,86","0,96","1,89e-04","1,00","1,00","1,00","-0,2","0,93","-0,24",,"1,76","2,12",,
20,Gradual,0,"2,5",2 / 5,"0,90","0,97","2,18e-04","1,00","1,00","1,00","-0,28","1,11","-0,32",,"1,74","2,08",,
20,Gradual,0,"2,5",3 / 5,"0,90","0,98","2,18e-04","1,00","1,00","1,00","-0,29","1,12","-0,33",,"1,74","2,08",,
20,Gradual,0,"2,5",4 / 5,"0,90","0,98","2,16e-04","1,00","1,00","1,00","-0,3","1,13","-0,34",,"1,74","2,08",,
20,Gradual,0,"2,5",FINAL,"0,90","0,98","2,14e-04","1,00","1,00","1,00","-0,32","1,15","-0,36","3,24","1,74","2,09","14,32","53,70"
20,Gradual,"2,5","2,5",INITIAL,"2,21","2,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","4,03","4,75",,
20,Gradual,"2,5","2,5",1 / 5,"1,63","1,24","3,98e-03","1,00","1,00","1,00","-0,18","1,51","-0,41",,"3,82","4,59",,
20,Gradual,"2,5","2,5",2 / 5,"1,43","1,14","9,58e-03","1,00","1,00","1,00","-0,32","1,55","-0,87",,"3,87","4,70",,
20,Gradual,"2,5","2,5",3 / 5,"1,17","0,91","1,96e-02","1,00","1,00","1,00","-1,1","2,0","-3,13",,"4,33","5,38",,
20,Gradual,"2,5","2,5",4 / 5,"1,12","0,88","2,08e-02","1,00","1,00","1,00","-1,77","2,36","-5,35",,"4,72","5,97",,
20,Gradual,"2,5","2,5",FINAL,"1,15","0,89","2,06e-02","1,00","1,00","1,00","-2,19","2,6","-6,3","5,36","4,89","6,25","-21,36","91,37"
20,Gradual,0,10,INITIAL,"5,37","5,03","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,53","5,82","6,85",,
20,Gradual,0,10,1 / 5,"1,18","1,27","3,83e-03","1,00","1,00","1,00","-1,13","5,45","-1,15",,"4,47","5,19",,
20,Gradual,0,10,2 / 5,"1,20","1,22","4,16e-03","1,00","1,00","1,00","-1,31","5,66","-1,36",,"4,44","5,15",,
20,Gradual,0,10,3 / 5,"1,24","1,24","4,32e-03","1,00","1,00","1,00","-1,44","5,78","-1,51",,"4,43","5,13",,
20,Gradual,0,10,4 / 5,"0,96","0,88","5,39e-03","1,00","1,00","1,00","-1,59","5,9","-1,71",,"4,32","5,01",,
20,Gradual,0,10,FINAL,"1,02","0,92","5,46e-03","1,00","1,00","1,00","-1,66","5,95","-1,79","10,53","4,31","5,00","25,86","40,95"
20,Gradual,10,10,INITIAL,"9,92","10,02","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,68","17,26",,
20,Gradual,10,10,1 / 5,"7,39","6,00","2,36e-02","1,00","1,00","1,00","-1,39","5,26","-1,63",,"13,84","16,63",,
20,Gradual,10,10,2 / 5,"7,42","5,65","6,74e-02","1,00","1,00","1,00","-3,23","7,82","-4,61",,"14,46","17,54",,
20,Gradual,10,10,3 / 5,"5,18","4,14","1,42e-01","1,00","1,00","1,00","-5,2","6,69","-7,57",,"15,41","18,93",,
20,Gradual,10,10,4 / 5,"2,80","3,26","3,29e-01","1,00","1,00","1,00","-11,23","8,14","-15,15",,"19,65","24,36",,
20,Gradual,10,10,FINAL,"1,05","0,79","7,66e-01","1,00","1,00","1,00","-23,64","8,15","-27,33","19,45","31,58","39,56","-115,05","162,37"
80,Planar,"2,5",0,INITIAL,"0,56","0,55","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,78","10,83","13,38",,
80,Planar,"2,5",0,1 / 5,"0,51","0,51","5,30e-04","1,00","1,00","1,00","-0,01","0,09","-0,09",,"10,82","13,37",,
80,Planar,"2,5",0,2 / 5,"0,52","0,53","3,75e-04","1,00","1,00","1,00","0,0","0,09","-0,08",,"10,82","13,38",,
80,Planar,"2,5",0,3 / 5,"0,52","0,53","3,57e-04","1,00","1,00","1,00","-0,0","0,08","-0,08",,"10,82","13,38",,
80,Planar,"2,5",0,4 / 5,"0,52","0,53","3,35e-04","1,00","1,00","1,00","-0,0","0,07","-0,08",,"10,82","13,38",,
80,Planar,"2,5",0,FINAL,"0,53","0,53","3,19e-04","1,00","1,00","1,00","-0,0","0,07","-0,08","3,78","10,82","13,38","0,05","286,04"
80,Planar,0,"2,5",INITIAL,"0,46","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,61","9,27",,
80,Planar,0,"2,5",1 / 5,"0,41","0,36","5,27e-04","1,00","1,00","1,00","-0,17","0,39","-0,1",,"7,58","9,25",,
80,Planar,0,"2,5",2 / 5,"0,41","0,36","4,89e-04","1,00","1,00","1,00","-0,19","0,39","-0,1",,"7,58","9,25",,
80,Planar,0,"2,5",3 / 5,"0,42","0,37","3,78e-04","1,00","1,00","1,00","-0,24","0,35","-0,09",,"7,57","9,25",,
80,Planar,0,"2,5",4 / 5,"0,42","0,38","2,69e-04","1,00","1,00","1,00","-0,29","0,32","-0,1",,"7,57","9,24",,
80,Planar,0,"2,5",FINAL,"0,42","0,38","2,66e-04","1,00","1,00","1,00","-0,29","0,32","-0,1","2,50","7,57","9,24","0,50","302,86"
80,Planar,"2,5","2,5",INITIAL,"0,52","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,70","10,89","13,70",,
80,Planar,"2,5","2,5",1 / 5,"0,44","0,46","6,05e-04","1,00","1,00","1,00","-0,06","0,41","-0,03",,"10,85","13,68",,
80,Planar,"2,5","2,5",2 / 5,"0,45","0,47","5,18e-04","1,00","1,00","1,00","-0,11","0,47","-0,05",,"10,84","13,68",,
80,Planar,"2,5","2,5",3 / 5,"0,45","0,47","4,91e-04","1,00","1,00","1,00","-0,12","0,47","-0,05",,"10,84","13,68",,
80,Planar,"2,5","2,5",4 / 5,"0,45","0,48","2,09e-04","1,00","1,00","1,00","-0,34","0,49","-0,07",,"10,84","13,67",,
80,Planar,"2,5","2,5",FINAL,"0,45","0,48","2,08e-04","1,00","1,00","1,00","-0,34","0,49","-0,07","4,70","10,84","13,67","0,44","230,50"
80,Planar,10,0,INITIAL,"1,71","1,72","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,37","26,89","33,20",,
80,Planar,10,0,1 / 5,"1,55","1,54","1,08e-02","1,00","1,00","1,00","-0,05","-0,19","-0,02",,"26,75","33,13",,
80,Planar,10,0,2 / 5,"1,52","1,50","2,50e-02","1,00","1,00","1,00","-0,08","-0,43","-0,24",,"26,79","33,25",,
80,Planar,10,0,3 / 5,"1,39","1,38","5,41e-02","1,00","1,00","1,00","0,68","-1,02","-1,2",,"27,17","33,80",,
80,Planar,10,0,4 / 5,"1,20","1,21","1,01e-01","1,00","1,00","1,00","-1,93","2,11","-3,99",,"29,80","37,34",,
80,Planar,10,0,FINAL,"0,95","0,99","1,46e-01","1,00","1,00","1,00","-4,03","5,17","-4,87","16,37","31,36","39,34","-16,63","191,55"
80,Planar,0,10,INITIAL,"0,89","0,90","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,51","17,01",,
80,Planar,0,10,1 / 5,"0,40","0,40","1,97e-03","1,00","1,00","1,00","-0,49","2,02","-0,2",,"14,15","16,81",,
80,Planar,0,10,2 / 5,"0,37","0,36","4,29e-03","1,00","1,00","1,00","-0,3","3,3","-0,51",,"14,12","16,75",,
80,Planar,0,10,3 / 5,"0,37","0,37","4,24e-03","1,00","1,00","1,00","-0,31","3,3","-0,52",,"14,12","16,75",,
80,Planar,0,10,4 / 5,"0,37","0,37","4,21e-03","1,00","1,00","1,00","-0,32","3,3","-0,51",,"14,12","16,75",,
80,Planar,0,10,FINAL,"0,37","0,37","4,20e-03","1,00","1,00","1,00","-0,32","3,3","-0,51","10,00","14,12","16,75","2,71","141,21"
80,Planar,10,10,INITIAL,"1,99","2,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,06","38,52","47,29",,
80,Planar,10,10,1 / 5,"1,44","1,50","1,61e-02","1,00","1,00","1,00","-0,83","3,91","-0,42",,"38,14","47,15",,
80,Planar,10,10,2 / 5,"1,35","1,36","4,01e-02","1,00","1,00","1,00","-0,67","6,95","-1,29",,"38,15","47,31",,
80,Planar,10,10,3 / 5,"1,22","1,25","6,76e-02","1,00","1,00","1,00","-3,3","16,48","-5,73",,"39,02","48,86",,
80,Planar,10,10,4 / 5,"1,08","1,10","8,17e-02","1,00","1,00","1,00","-3,39","17,48","-6,03",,"39,03","48,96",,
80,Planar,10,10,FINAL,"1,01","1,04","1,06e-01","1,00","1,00","1,00","-3,97","22,17","-8,73","20,06","39,93","50,52","-3,64","199,05"
80,Gradual,0,"2,5",INITIAL,"2,42","2,28","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","23,44","30,99","42,49",,
80,Gradual,0,"2,5",1 / 5,"1,35","1,41","5,01e-03","1,00","1,00","1,00","-1,1","1,18","-1,86",,"30,07","41,93",,
80,Gradual,0,"2,5",2 / 5,"1,37","1,44","5,11e-03","1,00","1,00","1,00","-1,37","0,91","-1,89",,"30,06","41,91",,
80,Gradual,0,"2,5",3 / 5,"1,41","1,48","5,11e-03","1,00","1,00","1,00","-1,63","0,63","-1,93",,"30,05","41,90",,
80,Gradual,0,"2,5",4 / 5,"1,22","1,31","7,49e-03","1,00","1,00","1,00","-2,4","0,45","-2,42",,"29,88","41,79",,
80,Gradual,0,"2,5",FINAL,"0,86","0,94","1,47e-02","1,00","1,00","1,00","-3,79","0,16","-3,53","23,44","29,61","41,59","4,46","126,34"
80,Gradual,"2,5","2,5",INITIAL,"2,51","2,79","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","24,95","34,36","45,12",,
80,Gradual,"2,5","2,5",1 / 5,"1,37","1,53","6,51e-03","1,00","1,00","1,00","-1,09","1,05","-2,01",,"33,35","44,49",,
80,Gradual,"2,5","2,5",2 / 5,"1,35","1,49","7,69e-03","1,00","1,00","1,00","-2,0","-0,11","-2,26",,"33,25","44,41",,
80,Gradual,"2,5","2,5",3 / 5,"1,35","1,46","8,73e-03","1,00","1,00","1,00","-3,2","-1,15","-2,69",,"33,14","44,29",,
80,Gradual,"2,5","2,5",4 / 5,"1,37","1,48","8,99e-03","1,00","1,00","1,00","-3,48","-1,36","-2,75",,"33,13","44,26",,
80,Gradual,"2,5","2,5",FINAL,"1,41","1,51","8,64e-03","1,00","1,00","1,00","-3,65","-1,5","-2,77","24,95","33,13","44,25","3,59","132,75"
80,Gradual,0,10,INITIAL,"5,95","5,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,08","55,75","76,19",,
80,Gradual,0,10,1 / 5,"4,46","4,47","6,58e-03","1,00","1,00","1,00","-1,14","1,28","-2,22",,"54,33","75,21",,
80,Gradual,0,10,2 / 5,"2,90","3,33","2,80e-02","1,00","1,00","1,00","-4,79","1,56","-5,11",,"53,05","74,28",,
80,Gradual,0,10,3 / 5,"1,66","2,12","6,64e-02","1,00","1,00","1,00","-10,4","1,04","-8,5",,"52,10","73,61",,
80,Gradual,0,10,4 / 5,"1,79","2,24","6,71e-02","1,00","1,00","1,00","-12,11","-0,21","-8,7",,"52,08","73,55",,
80,Gradual,0,10,FINAL,"1,26","1,55","8,89e-02","1,00","1,00","1,00","-16,23","-1,4","-10,57","46,08","51,67","73,26","7,33","112,14"
80,Gradual,10,10,INITIAL,"5,26","4,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","47,29","62,38","81,17",,
80,Gradual,10,10,1 / 5,"3,49","3,63","1,29e-02","1,00","1,00","1,00","-1,9","0,82","-2,63",,"60,85","80,23",,
80,Gradual,10,10,2 / 5,"2,76","3,10","2,59e-02","1,00","1,00","1,00","-5,24","-0,97","-4,33",,"60,22","79,78",,
80,Gradual,10,10,3 / 5,"2,32","2,68","4,11e-02","1,00","1,00","1,00","-7,63","-1,47","-5,74",,"59,85","79,52",,
80,Gradual,10,10,4 / 5,"2,38","2,74","4,07e-02","1,00","1,00","1,00","-9,08","-2,6","-6,0",,"59,79","79,45",,
80,Gradual,10,10,FINAL,"1,96","2,30","5,81e-02","1,00","1,00","1,00","-11,23","-3,12","-7,28","47,29","59,49","79,25","4,63","125,79"
150,Planar,"2,5",0,INITIAL,"0,52","0,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,06","18,16","21,88",,
150,Planar,"2,5",0,1 / 5,"0,47","0,48","4,68e-04","1,00","1,00","1,00","0,14","0,06","0,03",,"18,15","21,87",,
150,Planar,"2,5",0,2 / 5,"0,48","0,49","3,51e-04","1,00","1,00","1,00","0,21","0,11","0,01",,"18,15","21,87",,
150,Planar,"2,5",0,3 / 5,"0,49","0,49","3,28e-04","1,00","1,00","1,00","0,22","0,11","0,01",,"18,15","21,87",,
150,Planar,"2,5",0,4 / 5,"0,50","0,51","7,83e-05","1,00","1,00","1,00","0,28","0,11","0,01",,"18,16","21,87",,
150,Planar,"2,5",0,FINAL,"0,50","0,51","7,68e-05","1,00","1,00","1,00","0,27","0,11","0,01","4,06","18,16","21,87","0,01","447,45"
150,Planar,0,"2,5",INITIAL,"0,48","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,03","22,09",,
150,Planar,0,"2,5",1 / 5,"0,42","0,43","6,42e-04","1,00","1,00","1,00","-0,0","0,02","-0,02",,"18,02","22,09",,
150,Planar,0,"2,5",2 / 5,"0,43","0,44","4,96e-04","1,00","1,00","1,00","-0,02","-0,02","-0,02",,"18,02","22,09",,
150,Planar,0,"2,5",3 / 5,"0,44","0,45","1,95e-04","1,00","1,00","1,00","0,07","-0,12","-0,02",,"18,01","22,08",,
150,Planar,0,"2,5",4 / 5,"0,44","0,45","1,71e-04","1,00","1,00","1,00","0,08","-0,12","-0,02",,"18,01","22,08",,
150,Planar,0,"2,5",FINAL,"0,45","0,46","7,86e-05","1,00","1,00","1,00","0,1","-0,14","-0,02","2,50","18,01","22,08","0,13","720,30"
150,Planar,"2,5","2,5",INITIAL,"0,54","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,55","20,23","24,41",,
150,Planar,"2,5","2,5",1 / 5,"0,48","0,49","6,69e-04","1,00","1,00","1,00","-0,2","0,18","0,02",,"20,21","24,40",,
150,Planar,"2,5","2,5",2 / 5,"0,50","0,50","3,89e-04","1,00","1,00","1,00","-0,3","0,32","0,01",,"20,21","24,40",,
150,Planar,"2,5","2,5",3 / 5,"0,51","0,51","1,81e-04","1,00","1,00","1,00","-0,38","0,4","0,01",,"20,21","24,40",,
150,Planar,"2,5","2,5",4 / 5,"0,51","0,52","1,40e-04","1,00","1,00","1,00","-0,39","0,42","0,0",,"20,21","24,40",,
150,Planar,"2,5","2,5",FINAL,"0,52","0,52","5,84e-05","1,00","1,00","1,00","-0,43","0,47","0,0","4,55","20,21","24,40","0,08","444,65"
150,Planar,10,0,INITIAL,"0,98","1,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,37","42,33","52,32",,
150,Planar,10,0,1 / 5,"0,91","0,94","9,58e-04","1,00","1,00","1,00","0,17","-0,27","-0,06",,"42,28","52,30",,
150,Planar,10,0,2 / 5,"0,91","0,94","1,19e-03","1,00","1,00","1,00","0,86","-1,25","-0,15",,"42,28","52,30",,
150,Planar,10,0,3 / 5,"0,94","0,97","3,78e-04","1,00","1,00","1,00","1,26","-2,06","-0,26",,"42,30","52,31",,
150,Planar,10,0,4 / 5,"0,95","0,98","2,07e-04","1,00","1,00","1,00","1,54","-2,6","-0,34",,"42,31","52,31",,
150,Planar,10,0,FINAL,"0,96","0,99","1,50e-04","1,00","1,00","1,00","1,55","-2,59","-0,35","15,37","42,31","52,31","0,05","275,24"
150,Planar,0,10,INITIAL,"0,74","0,75","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,93","25,31",,
150,Planar,0,10,1 / 5,"0,42","0,42","3,61e-03","1,00","1,00","1,00","-0,43","1,33","-0,08",,"20,64","25,16",,
150,Planar,0,10,2 / 5,"0,41","0,41","3,17e-03","1,00","1,00","1,00","-0,72","1,34","-0,1",,"20,62","25,15",,
150,Planar,0,10,3 / 5,"0,41","0,41","2,72e-03","1,00","1,00","1,00","-0,87","1,34","-0,14",,"20,61","25,14",,
150,Planar,0,10,4 / 5,"0,41","0,41","2,68e-03","1,00","1,00","1,00","-0,89","1,34","-0,14",,"20,61","25,14",,
150,Planar,0,10,FINAL,"0,40","0,40","2,63e-03","1,00","1,00","1,00","-1,01","1,21","-0,22","10,00","20,60","25,13","1,60","205,97"
150,Planar,10,10,INITIAL,"1,13","1,16","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,26","46,17","56,53",,
150,Planar,10,10,1 / 5,"0,99","1,01","1,64e-03","1,00","1,00","1,00","-0,22","0,94","0,07",,"46,03","56,47",,
150,Planar,10,10,2 / 5,"1,00","1,02","1,27e-03","1,00","1,00","1,00","-0,33","1,38","0,06",,"46,04","56,47",,
150,Planar,10,10,3 / 5,"1,00","1,01","1,02e-03","1,00","1,00","1,00","-0,62","1,83","0,06",,"46,03","56,47",,
150,Planar,10,10,4 / 5,"0,99","1,00","8,59e-04","1,00","1,00","1,00","-0,95","2,34","0,07",,"46,02","56,47",,
150,Planar,10,10,FINAL,"0,99","1,00","8,45e-04","1,00","1,00","1,00","-0,96","2,35","0,07","19,26","46,03","56,47","0,31","238,98"
150,Gradual,0,"2,5",INITIAL,"3,21","3,16","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","45,63","73,63","107,75",,
150,Gradual,0,"2,5",1 / 5,"2,09","2,15","1,20e-02","1,00","1,00","1,00","-2,78","-4,24","-2,97",,"72,03","106,86",,
150,Gradual,0,"2,5",2 / 5,"1,40","1,51","3,46e-02","1,00","1,00","1,00","-6,92","-8,67","-5,25",,"71,07","106,32",,
150,Gradual,0,"2,5",3 / 5,"1,35","1,43","4,26e-02","1,00","1,00","1,00","-10,42","-10,86","-5,93",,"70,78","106,09",,
150,Gradual,0,"2,5",4 / 5,"1,11","1,17","6,02e-02","1,00","1,00","1,00","-14,51","-14,44","-7,77",,"70,34","105,78",,
150,Gradual,0,"2,5",FINAL,"1,13","1,17","6,31e-02","1,00","1,00","1,00","-16,01","-15,55","-8,12","45,63","70,26","105,70","4,57","153,99"
150,Gradual,"2,5","2,5",INITIAL,"2,74","2,76","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","43,22","76,48","117,16",,
150,Gradual,"2,5","2,5",1 / 5,"1,76","1,74","9,72e-03","1,00","1,00","1,00","-2,72","-2,05","-2,45",,"75,22","116,58",,
150,Gradual,"2,5","2,5",2 / 5,"1,19","1,20","2,86e-02","1,00","1,00","1,00","-8,28","-3,88","-4,7",,"74,40","116,19",,
150,Gradual,"2,5","2,5",3 / 5,"1,21","1,22","3,10e-02","1,00","1,00","1,00","-10,17","-4,49","-5,14",,"74,28","116,09",,
150,Gradual,"2,5","2,5",4 / 5,"1,19","1,19","3,31e-02","1,00","1,00","1,00","-11,71","-4,75","-5,52",,"74,17","116,02",,
150,Gradual,"2,5","2,5",FINAL,"1,22","1,21","3,44e-02","1,00","1,00","1,00","-13,36","-5,03","-5,89","43,22","74,08","115,95","3,13","171,42"
150,Gradual,0,10,INITIAL,"7,31","7,12","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","81,00","116,12","172,71",,
150,Gradual,0,10,1 / 5,"5,59","5,62","2,25e-02","1,00","1,00","1,00","-2,73","-4,07","-3,38",,"113,47","171,15",,
150,Gradual,0,10,2 / 5,"5,41","5,47","2,74e-02","1,00","1,00","1,00","-5,9","-4,86","-3,68",,"113,21","170,93",,
150,Gradual,0,10,3 / 5,"5,37","5,44","2,88e-02","1,00","1,00","1,00","-7,2","-5,13","-3,77",,"113,13","170,85",,
150,Gradual,0,10,4 / 5,"4,78","4,94","4,68e-02","1,00","1,00","1,00","-10,53","-6,02","-5,14",,"112,30","170,32",,
150,Gradual,0,10,FINAL,"4,56","4,77","5,55e-02","1,00","1,00","1,00","-13,48","-6,58","-5,73","81,00","111,97","170,08","3,57","138,24"
150,Gradual,10,10,INITIAL,"6,81","6,57","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","85,86","124,78","167,56",,
150,Gradual,10,10,1 / 5,"5,40","5,24","1,61e-02","1,00","1,00","1,00","-1,41","-3,85","-2,52",,"122,43","166,24",,
150,Gradual,10,10,2 / 5,"5,31","5,17","1,77e-02","1,00","1,00","1,00","-2,9","-4,86","-2,64",,"122,26","166,11",,
150,Gradual,10,10,3 / 5,"4,50","4,48","3,90e-02","1,00","1,00","1,00","-6,29","-6,47","-4,19",,"120,98","165,37",,
150,Gradual,10,10,4 / 5,"3,00","3,10","1,33e-01","1,00","1,00","1,00","-35,07","-17,32","-10,42",,"117,78","163,03",,
150,Gradual,10,10,FINAL,"2,99","3,10","1,33e-01","1,00","1,00","1,00","-35,13","-17,21","-10,47","85,86","117,77","163,02","5,62","137,16"
